orig_utt_id,aug_utt_id,spk_id,gender,condition,cos_clean_aug,embedding_drift
BAC009S0160W0297,BAC009S0160W0297_noise10,S0160,1,noise_snr10,0.766975426988228,0.23302457301177204
BAC009S0160W0297,BAC009S0160W0297_ch8k,S0160,1,channel_8k,0.5197938938490718,0.4802061061509282
BAC009S0160W0197,BAC009S0160W0197_noise10,S0160,1,noise_snr10,0.6770398549086787,0.3229601450913213
BAC009S0160W0197,BAC009S0160W0197_ch8k,S0160,1,channel_8k,0.4118118946126485,0.5881881053873514
BAC009S0160W0354,BAC009S0160W0354_noise10,S0160,1,noise_snr10,0.7559071412679021,0.24409285873209785
BAC009S0160W0354,BAC009S0160W0354_ch8k,S0160,1,channel_8k,0.4905141840997563,0.5094858159002438
BAC009S0160W0494,BAC009S0160W0494_noise10,S0160,1,noise_snr10,0.7359434292631853,0.26405657073681466
BAC009S0160W0494,BAC009S0160W0494_ch8k,S0160,1,channel_8k,0.4920984457397211,0.5079015542602789
BAC009S0160W0174,BAC009S0160W0174_noise10,S0160,1,noise_snr10,0.6882977416826964,0.3117022583173036
BAC009S0160W0174,BAC009S0160W0174_ch8k,S0160,1,channel_8k,0.5273632950498535,0.47263670495014654
BAC009S0160W0343,BAC009S0160W0343_noise10,S0160,1,noise_snr10,0.6582285492298676,0.3417714507701324
BAC009S0160W0343,BAC009S0160W0343_ch8k,S0160,1,channel_8k,0.4138867515660123,0.5861132484339877
BAC009S0160W0314,BAC009S0160W0314_noise10,S0160,1,noise_snr10,0.7328561907949045,0.2671438092050955
BAC009S0160W0314,BAC009S0160W0314_ch8k,S0160,1,channel_8k,0.6191760977787782,0.38082390222122176
BAC009S0160W0122,BAC009S0160W0122_noise10,S0160,1,noise_snr10,0.748178459564146,0.25182154043585403
BAC009S0160W0122,BAC009S0160W0122_ch8k,S0160,1,channel_8k,0.4571093224005953,0.5428906775994047
BAC009S0160W0375,BAC009S0160W0375_noise10,S0160,1,noise_snr10,0.6790516308590199,0.3209483691409801
BAC009S0160W0375,BAC009S0160W0375_ch8k,S0160,1,channel_8k,0.464821959854115,0.535178040145885
BAC009S0160W0249,BAC009S0160W0249_noise10,S0160,1,noise_snr10,0.6329852279307069,0.3670147720692931
BAC009S0160W0249,BAC009S0160W0249_ch8k,S0160,1,channel_8k,0.523094827666238,0.47690517233376195
BAC009S0160W0448,BAC009S0160W0448_noise10,S0160,1,noise_snr10,0.7750744012021121,0.22492559879788787
BAC009S0160W0448,BAC009S0160W0448_ch8k,S0160,1,channel_8k,0.5163840003827298,0.4836159996172702
BAC009S0160W0205,BAC009S0160W0205_noise10,S0160,1,noise_snr10,0.584292416009714,0.41570758399028596
BAC009S0160W0205,BAC009S0160W0205_ch8k,S0160,1,channel_8k,0.4380733588085678,0.5619266411914322
BAC009S0160W0271,BAC009S0160W0271_noise10,S0160,1,noise_snr10,0.6886333158294261,0.3113666841705739
BAC009S0160W0271,BAC009S0160W0271_ch8k,S0160,1,channel_8k,0.41219785397319053,0.5878021460268095
BAC009S0160W0404,BAC009S0160W0404_noise10,S0160,1,noise_snr10,0.7037542215397271,0.2962457784602729
BAC009S0160W0404,BAC009S0160W0404_ch8k,S0160,1,channel_8k,0.3733450359528144,0.6266549640471857
BAC009S0160W0155,BAC009S0160W0155_noise10,S0160,1,noise_snr10,0.6516272956535268,0.34837270434647316
BAC009S0160W0155,BAC009S0160W0155_ch8k,S0160,1,channel_8k,0.4290302054894374,0.5709697945105626
BAC009S0160W0260,BAC009S0160W0260_noise10,S0160,1,noise_snr10,0.7032228041898484,0.2967771958101516
BAC009S0160W0260,BAC009S0160W0260_ch8k,S0160,1,channel_8k,0.5198546596040047,0.4801453403959953
BAC009S0166W0435,BAC009S0166W0435_noise10,S0166,1,noise_snr10,0.7807856589431501,0.2192143410568499
BAC009S0166W0435,BAC009S0166W0435_ch8k,S0166,1,channel_8k,0.592018514436143,0.40798148556385705
BAC009S0166W0377,BAC009S0166W0377_noise10,S0166,1,noise_snr10,0.6835941415373131,0.3164058584626869
BAC009S0166W0377,BAC009S0166W0377_ch8k,S0166,1,channel_8k,0.5258859343392241,0.47411406566077585
BAC009S0166W0413,BAC009S0166W0413_noise10,S0166,1,noise_snr10,0.8143116750348313,0.18568832496516874
BAC009S0166W0413,BAC009S0166W0413_ch8k,S0166,1,channel_8k,0.6115774219615314,0.3884225780384686
BAC009S0166W0209,BAC009S0166W0209_noise10,S0166,1,noise_snr10,0.7072657872045334,0.29273421279546663
BAC009S0166W0209,BAC009S0166W0209_ch8k,S0166,1,channel_8k,0.5655027571394671,0.43449724286053293
BAC009S0166W0230,BAC009S0166W0230_noise10,S0166,1,noise_snr10,0.8156403001808443,0.18435969981915568
BAC009S0166W0230,BAC009S0166W0230_ch8k,S0166,1,channel_8k,0.6669955584461851,0.3330044415538149
BAC009S0166W0336,BAC009S0166W0336_noise10,S0166,1,noise_snr10,0.7468422576606668,0.2531577423393332
BAC009S0166W0336,BAC009S0166W0336_ch8k,S0166,1,channel_8k,0.5496118013733888,0.45038819862661117
BAC009S0166W0315,BAC009S0166W0315_noise10,S0166,1,noise_snr10,0.7231182979751158,0.27688170202488416
BAC009S0166W0315,BAC009S0166W0315_ch8k,S0166,1,channel_8k,0.608970374274379,0.39102962572562106
BAC009S0166W0260,BAC009S0166W0260_noise10,S0166,1,noise_snr10,0.6225588630503903,0.3774411369496097
BAC009S0166W0260,BAC009S0166W0260_ch8k,S0166,1,channel_8k,0.558274535215593,0.441725464784407
BAC009S0166W0174,BAC009S0166W0174_noise10,S0166,1,noise_snr10,0.724529139902841,0.27547086009715904
BAC009S0166W0174,BAC009S0166W0174_ch8k,S0166,1,channel_8k,0.5652558747032762,0.4347441252967238
BAC009S0166W0466,BAC009S0166W0466_noise10,S0166,1,noise_snr10,0.6653898887852491,0.3346101112147509
BAC009S0166W0466,BAC009S0166W0466_ch8k,S0166,1,channel_8k,0.5565062176970353,0.44349378230296466
BAC009S0166W0318,BAC009S0166W0318_noise10,S0166,1,noise_snr10,0.7881194148001026,0.2118805851998974
BAC009S0166W0318,BAC009S0166W0318_ch8k,S0166,1,channel_8k,0.5785773087446775,0.4214226912553225
BAC009S0166W0323,BAC009S0166W0323_noise10,S0166,1,noise_snr10,0.7785720019310293,0.22142799806897073
BAC009S0166W0323,BAC009S0166W0323_ch8k,S0166,1,channel_8k,0.5703120854462195,0.4296879145537805
BAC009S0166W0193,BAC009S0166W0193_noise10,S0166,1,noise_snr10,0.8331041252749158,0.16689587472508416
BAC009S0166W0193,BAC009S0166W0193_ch8k,S0166,1,channel_8k,0.6135173974674262,0.3864826025325738
BAC009S0166W0409,BAC009S0166W0409_noise10,S0166,1,noise_snr10,0.7106795663504195,0.2893204336495805
BAC009S0166W0409,BAC009S0166W0409_ch8k,S0166,1,channel_8k,0.38189874993722267,0.6181012500627774
BAC009S0166W0342,BAC009S0166W0342_noise10,S0166,1,noise_snr10,0.7994616428216836,0.20053835717831636
BAC009S0166W0342,BAC009S0166W0342_ch8k,S0166,1,channel_8k,0.587170570412856,0.41282942958714397
BAC009S0166W0381,BAC009S0166W0381_noise10,S0166,1,noise_snr10,0.7605517430544252,0.2394482569455748
BAC009S0166W0381,BAC009S0166W0381_ch8k,S0166,1,channel_8k,0.5735633315904165,0.4264366684095835
BAC009S0166W0240,BAC009S0166W0240_noise10,S0166,1,noise_snr10,0.8025104919291187,0.19748950807088128
BAC009S0166W0240,BAC009S0166W0240_ch8k,S0166,1,channel_8k,0.5810689868040563,0.4189310131959437
BAC009S0166W0257,BAC009S0166W0257_noise10,S0166,1,noise_snr10,0.7354272968794745,0.2645727031205255
BAC009S0166W0257,BAC009S0166W0257_ch8k,S0166,1,channel_8k,0.6449995149246495,0.35500048507535054
BAC009S0166W0147,BAC009S0166W0147_noise10,S0166,1,noise_snr10,0.7797229212036253,0.2202770787963747
BAC009S0166W0147,BAC009S0166W0147_ch8k,S0166,1,channel_8k,0.6555737582198817,0.34442624178011827
BAC009S0166W0457,BAC009S0166W0457_noise10,S0166,1,noise_snr10,0.7560589237901189,0.24394107620988115
BAC009S0166W0457,BAC009S0166W0457_ch8k,S0166,1,channel_8k,0.5367015546534313,0.4632984453465687
BAC009S0166W0135,BAC009S0166W0135_noise10,S0166,1,noise_snr10,0.7851846607597193,0.21481533924028073
BAC009S0166W0135,BAC009S0166W0135_ch8k,S0166,1,channel_8k,0.5821903885796464,0.41780961142035355
BAC009S0166W0495,BAC009S0166W0495_noise10,S0166,1,noise_snr10,0.7276022957520838,0.2723977042479162
BAC009S0166W0495,BAC009S0166W0495_ch8k,S0166,1,channel_8k,0.6353869970679135,0.36461300293208654
BAC009S0166W0436,BAC009S0166W0436_noise10,S0166,1,noise_snr10,0.830508223811617,0.16949177618838296
BAC009S0166W0436,BAC009S0166W0436_ch8k,S0166,1,channel_8k,0.654675218155321,0.34532478184467896
BAC009S0166W0175,BAC009S0166W0175_noise10,S0166,1,noise_snr10,0.7535483761772849,0.24645162382271513
BAC009S0166W0175,BAC009S0166W0175_ch8k,S0166,1,channel_8k,0.559825891618538,0.440174108381462
BAC009S0248W0477,BAC009S0248W0477_noise10,S0248,0,noise_snr10,0.7520667239322747,0.2479332760677253
BAC009S0248W0477,BAC009S0248W0477_ch8k,S0248,0,channel_8k,0.4934157973906018,0.5065842026093982
BAC009S0248W0388,BAC009S0248W0388_noise10,S0248,0,noise_snr10,0.6424843008642805,0.35751569913571946
BAC009S0248W0388,BAC009S0248W0388_ch8k,S0248,0,channel_8k,0.4402360276067645,0.5597639723932355
BAC009S0248W0404,BAC009S0248W0404_noise10,S0248,0,noise_snr10,0.6318396266695798,0.3681603733304202
BAC009S0248W0404,BAC009S0248W0404_ch8k,S0248,0,channel_8k,0.5090455958006573,0.49095440419934266
BAC009S0248W0352,BAC009S0248W0352_noise10,S0248,0,noise_snr10,0.7694394511526514,0.23056054884734856
BAC009S0248W0352,BAC009S0248W0352_ch8k,S0248,0,channel_8k,0.4795911264144159,0.5204088735855841
BAC009S0248W0126,BAC009S0248W0126_noise10,S0248,0,noise_snr10,0.7509705945258166,0.2490294054741834
BAC009S0248W0126,BAC009S0248W0126_ch8k,S0248,0,channel_8k,0.473081792630556,0.5269182073694441
BAC009S0248W0291,BAC009S0248W0291_noise10,S0248,0,noise_snr10,0.6272677494305183,0.37273225056948167
BAC009S0248W0291,BAC009S0248W0291_ch8k,S0248,0,channel_8k,0.45933403863135425,0.5406659613686458
BAC009S0248W0414,BAC009S0248W0414_noise10,S0248,0,noise_snr10,0.7824786693573316,0.21752133064266843
BAC009S0248W0414,BAC009S0248W0414_ch8k,S0248,0,channel_8k,0.5113756009462721,0.4886243990537279
BAC009S0248W0138,BAC009S0248W0138_noise10,S0248,0,noise_snr10,0.7517846003565832,0.24821539964341677
BAC009S0248W0138,BAC009S0248W0138_ch8k,S0248,0,channel_8k,0.54515075138443,0.45484924861556997
BAC009S0248W0122,BAC009S0248W0122_noise10,S0248,0,noise_snr10,0.6464586193288708,0.35354138067112917
BAC009S0248W0122,BAC009S0248W0122_ch8k,S0248,0,channel_8k,0.454228039013933,0.545771960986067
BAC009S0248W0370,BAC009S0248W0370_noise10,S0248,0,noise_snr10,0.7068169395793626,0.29318306042063735
BAC009S0248W0370,BAC009S0248W0370_ch8k,S0248,0,channel_8k,0.401893695263095,0.5981063047369051
BAC009S0248W0306,BAC009S0248W0306_noise10,S0248,0,noise_snr10,0.7322281206613033,0.26777187933869673
BAC009S0248W0306,BAC009S0248W0306_ch8k,S0248,0,channel_8k,0.574273699739746,0.42572630026025404
BAC009S0248W0351,BAC009S0248W0351_noise10,S0248,0,noise_snr10,0.6529943464061272,0.3470056535938728
BAC009S0248W0351,BAC009S0248W0351_ch8k,S0248,0,channel_8k,0.45295595389381377,0.5470440461061863
BAC009S0248W0161,BAC009S0248W0161_noise10,S0248,0,noise_snr10,0.6810169151869012,0.3189830848130988
BAC009S0248W0161,BAC009S0248W0161_ch8k,S0248,0,channel_8k,0.5381882136885525,0.4618117863114475
BAC009S0248W0176,BAC009S0248W0176_noise10,S0248,0,noise_snr10,0.6974940645977246,0.30250593540227544
BAC009S0248W0176,BAC009S0248W0176_ch8k,S0248,0,channel_8k,0.4310490363705185,0.5689509636294815
BAC009S0248W0246,BAC009S0248W0246_noise10,S0248,0,noise_snr10,0.7401074097055543,0.25989259029444567
BAC009S0248W0246,BAC009S0248W0246_ch8k,S0248,0,channel_8k,0.4640930844627679,0.535906915537232
BAC009S0248W0327,BAC009S0248W0327_noise10,S0248,0,noise_snr10,0.7493458315301318,0.2506541684698682
BAC009S0248W0327,BAC009S0248W0327_ch8k,S0248,0,channel_8k,0.5081356713026155,0.4918643286973845
BAC009S0248W0346,BAC009S0248W0346_noise10,S0248,0,noise_snr10,0.7515239640423776,0.24847603595762235
BAC009S0248W0346,BAC009S0248W0346_ch8k,S0248,0,channel_8k,0.526023890839322,0.473976109160678
BAC009S0248W0486,BAC009S0248W0486_noise10,S0248,0,noise_snr10,0.7331170962454893,0.26688290375451074
BAC009S0248W0486,BAC009S0248W0486_ch8k,S0248,0,channel_8k,0.4449081972454066,0.5550918027545935
BAC009S0248W0150,BAC009S0248W0150_noise10,S0248,0,noise_snr10,0.7224036382914055,0.2775963617085945
BAC009S0248W0150,BAC009S0248W0150_ch8k,S0248,0,channel_8k,0.47310169897844817,0.5268983010215518
BAC009S0248W0292,BAC009S0248W0292_noise10,S0248,0,noise_snr10,0.7844387085933525,0.21556129140664748
BAC009S0248W0292,BAC009S0248W0292_ch8k,S0248,0,channel_8k,0.4310221628955889,0.5689778371044111
BAC009S0248W0471,BAC009S0248W0471_noise10,S0248,0,noise_snr10,0.7522433920976223,0.24775660790237775
BAC009S0248W0471,BAC009S0248W0471_ch8k,S0248,0,channel_8k,0.4603219927624941,0.5396780072375059
BAC009S0248W0133,BAC009S0248W0133_noise10,S0248,0,noise_snr10,0.7231828333051733,0.2768171666948267
BAC009S0248W0133,BAC009S0248W0133_ch8k,S0248,0,channel_8k,0.5497092281272008,0.4502907718727992
BAC009S0248W0495,BAC009S0248W0495_noise10,S0248,0,noise_snr10,0.7057856846802718,0.2942143153197282
BAC009S0248W0495,BAC009S0248W0495_ch8k,S0248,0,channel_8k,0.4186546760655285,0.5813453239344715
BAC009S0248W0206,BAC009S0248W0206_noise10,S0248,0,noise_snr10,0.7675238770980156,0.23247612290198438
BAC009S0248W0206,BAC009S0248W0206_ch8k,S0248,0,channel_8k,0.43970458541148794,0.5602954145885121
BAC009S0230W0278,BAC009S0230W0278_noise10,S0230,1,noise_snr10,0.7295494441480254,0.27045055585197464
BAC009S0230W0278,BAC009S0230W0278_ch8k,S0230,1,channel_8k,0.4331232186305773,0.5668767813694227
BAC009S0230W0379,BAC009S0230W0379_noise10,S0230,1,noise_snr10,0.666040811198813,0.333959188801187
BAC009S0230W0379,BAC009S0230W0379_ch8k,S0230,1,channel_8k,0.42569630026654076,0.5743036997334592
